12:39:26.370 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/export/{proposalRef}/{exportPackageId}],methods=[GET],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getExportPackage(java.lang.String,java.lang.String)
12:39:26.370 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/searchlegfile/{legFileId}],methods=[GET],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getLegFile(java.lang.String)
12:39:26.522 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Tue Feb 01 12:39:26 CET 2022]; parent: Root WebApplicationContext
12:39:26.619 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Tue Feb 01 12:39:26 CET 2022]; parent: Root WebApplicationContext
12:39:26.730 leos [main] [] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
12:39:26.845 leos [main] [] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization completed in 729 ms
12:42:04.389 leos [qtp121486885-24] [] WARN  c.v.s.DefaultDeploymentConfiguration - 
=================================================================
Vaadin is running in DEBUG MODE.
Add productionMode=true to web.xml to disable debug features.
To show debug window, add ?debug to your application URL.
=================================================================
12:42:04.488 leos [qtp121486885-24] [] INFO  e.e.e.l.w.s.v.LeosSpringVaadinServlet - LEOS servlet is initialized!
12:42:05.010 leos [qtp121486885-24] [] INFO  e.e.e.l.w.s.LeosSessionListener - Creating http session
12:42:05.091 leos [qtp121486885-24] [] INFO  c.v.spring.server.SpringUIProvider - Unable to create the directory [null] for caching of themes compiled on the fly
12:42:05.402 leos [qtp121486885-107] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [EventBus{default}] with name [eventBus] in [UIBeanStore[id=1d5189d5, name=UI:0]]
